[19:26:24] [ERR] Failed to check the state of sock (session id: 07c89cbf-b381-4539-8429-81a2e0c619da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:19:55] [ERR] Failed to check the state of sock (session id: f8411a92-5786-4677-8dd0-ab80f649b8b3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:20:05] [ERR] Failed to check the state of sock (session id: f8411a92-5786-4677-8dd0-ab80f649b8b3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:20:15] [ERR] Failed to check the state of sock (session id: f8411a92-5786-4677-8dd0-ab80f649b8b3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:20:25] [ERR] Failed to check the state of sock (session id: f8411a92-5786-4677-8dd0-ab80f649b8b3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:21:56] [ERR] Failed to check the state of sock (session id: 9f07d0df-f5d7-44a8-b433-a6ccebeb2b5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:22:06] [ERR] Failed to check the state of sock (session id: 9f07d0df-f5d7-44a8-b433-a6ccebeb2b5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:22:16] [ERR] Failed to check the state of sock (session id: 9f07d0df-f5d7-44a8-b433-a6ccebeb2b5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:22:26] [ERR] Failed to check the state of sock (session id: 9f07d0df-f5d7-44a8-b433-a6ccebeb2b5a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:22:36] [ERR] Failed to check the state of sock (session id: 9f07d0df-f5d7-44a8-b433-a6ccebeb2b5a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:23:58] [ERR] Failed to check the state of sock (session id: 100b8b5a-182f-41ed-9770-9b659a805417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:24:08] [ERR] Failed to check the state of sock (session id: 100b8b5a-182f-41ed-9770-9b659a805417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:24:18] [ERR] Failed to check the state of sock (session id: 100b8b5a-182f-41ed-9770-9b659a805417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:24:28] [ERR] Failed to check the state of sock (session id: 100b8b5a-182f-41ed-9770-9b659a805417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:24:38] [ERR] Failed to check the state of sock (session id: 100b8b5a-182f-41ed-9770-9b659a805417, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:25:59] [ERR] Failed to check the state of sock (session id: f12300bd-8ab9-423b-8e25-d28ed2d142fd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:26:09] [ERR] Failed to check the state of sock (session id: f12300bd-8ab9-423b-8e25-d28ed2d142fd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:26:19] [ERR] Failed to check the state of sock (session id: f12300bd-8ab9-423b-8e25-d28ed2d142fd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:26:29] [ERR] Failed to check the state of sock (session id: f12300bd-8ab9-423b-8e25-d28ed2d142fd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:26:39] [ERR] Failed to check the state of sock (session id: f12300bd-8ab9-423b-8e25-d28ed2d142fd, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:28:10] [ERR] Failed to check the state of sock (session id: 5626f8a8-53be-4b5e-987d-0de552ea60c9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:28:20] [ERR] Failed to check the state of sock (session id: 5626f8a8-53be-4b5e-987d-0de552ea60c9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:28:30] [ERR] Failed to check the state of sock (session id: 5626f8a8-53be-4b5e-987d-0de552ea60c9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:28:40] [ERR] Failed to check the state of sock (session id: 5626f8a8-53be-4b5e-987d-0de552ea60c9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:28:50] [ERR] Failed to check the state of sock (session id: 5626f8a8-53be-4b5e-987d-0de552ea60c9, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:30:11] [ERR] Failed to check the state of sock (session id: 4e663b9d-c41d-49ab-9d9d-b6c817c86129, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:30:21] [ERR] Failed to check the state of sock (session id: 4e663b9d-c41d-49ab-9d9d-b6c817c86129, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:30:31] [ERR] Failed to check the state of sock (session id: 4e663b9d-c41d-49ab-9d9d-b6c817c86129, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:30:41] [ERR] Failed to check the state of sock (session id: 4e663b9d-c41d-49ab-9d9d-b6c817c86129, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:30:51] [ERR] Failed to check the state of sock (session id: 4e663b9d-c41d-49ab-9d9d-b6c817c86129, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:31:42] [ERR] Failed to check the state of sock (session id: f540ace5-d025-4f28-838a-19c926bff47f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:31:52] [ERR] Failed to check the state of sock (session id: f540ace5-d025-4f28-838a-19c926bff47f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:32:02] [ERR] Failed to check the state of sock (session id: f540ace5-d025-4f28-838a-19c926bff47f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:32:12] [ERR] Failed to check the state of sock (session id: f540ace5-d025-4f28-838a-19c926bff47f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:32:22] [ERR] Failed to check the state of sock (session id: f540ace5-d025-4f28-838a-19c926bff47f, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:33:23] [ERR] Failed to check the state of sock (session id: c1e19a51-9094-4fde-9afe-e51e97460b12, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:33:33] [ERR] Failed to check the state of sock (session id: c1e19a51-9094-4fde-9afe-e51e97460b12, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:33:43] [ERR] Failed to check the state of sock (session id: c1e19a51-9094-4fde-9afe-e51e97460b12, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:33:53] [ERR] Failed to check the state of sock (session id: c1e19a51-9094-4fde-9afe-e51e97460b12, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:34:03] [ERR] Failed to check the state of sock (session id: c1e19a51-9094-4fde-9afe-e51e97460b12, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:35:05] [ERR] Failed to check the state of sock (session id: b29945e4-1922-4bef-b8ca-cd85da845075, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:35:15] [ERR] Failed to check the state of sock (session id: b29945e4-1922-4bef-b8ca-cd85da845075, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:35:25] [ERR] Failed to check the state of sock (session id: b29945e4-1922-4bef-b8ca-cd85da845075, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:35:35] [ERR] Failed to check the state of sock (session id: b29945e4-1922-4bef-b8ca-cd85da845075, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:35:45] [ERR] Failed to check the state of sock (session id: b29945e4-1922-4bef-b8ca-cd85da845075, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:36:46] [ERR] Failed to check the state of sock (session id: 5a234f78-2dd1-4aef-bdb6-6ef32298c8b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:36:56] [ERR] Failed to check the state of sock (session id: 5a234f78-2dd1-4aef-bdb6-6ef32298c8b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:37:06] [ERR] Failed to check the state of sock (session id: 5a234f78-2dd1-4aef-bdb6-6ef32298c8b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:37:16] [ERR] Failed to check the state of sock (session id: 5a234f78-2dd1-4aef-bdb6-6ef32298c8b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:37:26] [ERR] Failed to check the state of sock (session id: 5a234f78-2dd1-4aef-bdb6-6ef32298c8b5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:38:27] [ERR] Failed to check the state of sock (session id: b504daac-fc24-4cd2-9591-98a9c5c2f736, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:38:37] [ERR] Failed to check the state of sock (session id: b504daac-fc24-4cd2-9591-98a9c5c2f736, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:38:47] [ERR] Failed to check the state of sock (session id: b504daac-fc24-4cd2-9591-98a9c5c2f736, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:38:57] [ERR] Failed to check the state of sock (session id: b504daac-fc24-4cd2-9591-98a9c5c2f736, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:39:07] [ERR] Failed to check the state of sock (session id: b504daac-fc24-4cd2-9591-98a9c5c2f736, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:40:18] [ERR] Failed to check the state of sock (session id: e32338a7-1065-417b-816b-1527b78fe2f8, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:40:28] [ERR] Failed to check the state of sock (session id: e32338a7-1065-417b-816b-1527b78fe2f8, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:40:38] [ERR] Failed to check the state of sock (session id: e32338a7-1065-417b-816b-1527b78fe2f8, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:40:48] [ERR] Failed to check the state of sock (session id: e32338a7-1065-417b-816b-1527b78fe2f8, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:40:58] [ERR] Failed to check the state of sock (session id: e32338a7-1065-417b-816b-1527b78fe2f8, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:41:59] [ERR] Failed to check the state of sock (session id: d0cbdad9-dc7f-445b-a6b5-5d8b8bc400ec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:42:09] [ERR] Failed to check the state of sock (session id: d0cbdad9-dc7f-445b-a6b5-5d8b8bc400ec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:42:19] [ERR] Failed to check the state of sock (session id: d0cbdad9-dc7f-445b-a6b5-5d8b8bc400ec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:42:29] [ERR] Failed to check the state of sock (session id: d0cbdad9-dc7f-445b-a6b5-5d8b8bc400ec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:42:39] [ERR] Failed to check the state of sock (session id: d0cbdad9-dc7f-445b-a6b5-5d8b8bc400ec, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:43:40] [ERR] Failed to check the state of sock (session id: 2d7691ed-83da-42d6-bfa3-8eaa760b27e3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:43:50] [ERR] Failed to check the state of sock (session id: 2d7691ed-83da-42d6-bfa3-8eaa760b27e3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:44:00] [ERR] Failed to check the state of sock (session id: 2d7691ed-83da-42d6-bfa3-8eaa760b27e3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:44:10] [ERR] Failed to check the state of sock (session id: 2d7691ed-83da-42d6-bfa3-8eaa760b27e3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:44:20] [ERR] Failed to check the state of sock (session id: 2d7691ed-83da-42d6-bfa3-8eaa760b27e3, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:45:22] [ERR] Failed to check the state of sock (session id: fb04c557-f91d-4b3d-9389-6f39623d594d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:45:32] [ERR] Failed to check the state of sock (session id: fb04c557-f91d-4b3d-9389-6f39623d594d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:45:42] [ERR] Failed to check the state of sock (session id: fb04c557-f91d-4b3d-9389-6f39623d594d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:45:52] [ERR] Failed to check the state of sock (session id: fb04c557-f91d-4b3d-9389-6f39623d594d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:46:02] [ERR] Failed to check the state of sock (session id: fb04c557-f91d-4b3d-9389-6f39623d594d, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:47:23] [ERR] Failed to check the state of sock (session id: cbfbf724-a111-4c1f-9f78-73468353add0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:47:33] [ERR] Failed to check the state of sock (session id: cbfbf724-a111-4c1f-9f78-73468353add0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:47:43] [ERR] Failed to check the state of sock (session id: cbfbf724-a111-4c1f-9f78-73468353add0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:47:53] [ERR] Failed to check the state of sock (session id: cbfbf724-a111-4c1f-9f78-73468353add0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:48:03] [ERR] Failed to check the state of sock (session id: cbfbf724-a111-4c1f-9f78-73468353add0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:49:34] [ERR] Failed to check the state of sock (session id: 5e630a12-8f02-4c31-8372-180d56e25bc0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:49:44] [ERR] Failed to check the state of sock (session id: 5e630a12-8f02-4c31-8372-180d56e25bc0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:49:54] [ERR] Failed to check the state of sock (session id: 5e630a12-8f02-4c31-8372-180d56e25bc0, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:50:04] [ERR] Failed to check the state of sock (session id: 5e630a12-8f02-4c31-8372-180d56e25bc0, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:50:14] [ERR] Failed to check the state of sock (session id: 5e630a12-8f02-4c31-8372-180d56e25bc0, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:51:15] [ERR] Failed to check the state of sock (session id: a82cbae9-0c05-4a86-9646-50289eac772e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:51:25] [ERR] Failed to check the state of sock (session id: a82cbae9-0c05-4a86-9646-50289eac772e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:51:35] [ERR] Failed to check the state of sock (session id: a82cbae9-0c05-4a86-9646-50289eac772e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:51:45] [ERR] Failed to check the state of sock (session id: a82cbae9-0c05-4a86-9646-50289eac772e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:51:55] [ERR] Failed to check the state of sock (session id: a82cbae9-0c05-4a86-9646-50289eac772e, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:52:57] [ERR] Failed to check the state of sock (session id: 27106f1c-4137-4113-8832-95e0532d7200, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:53:07] [ERR] Failed to check the state of sock (session id: 27106f1c-4137-4113-8832-95e0532d7200, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:53:17] [ERR] Failed to check the state of sock (session id: 27106f1c-4137-4113-8832-95e0532d7200, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:53:27] [ERR] Failed to check the state of sock (session id: 27106f1c-4137-4113-8832-95e0532d7200, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:53:37] [ERR] Failed to check the state of sock (session id: 27106f1c-4137-4113-8832-95e0532d7200, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:54:28] [ERR] Failed to check the state of sock (session id: 59b9ef41-67f4-40ea-9018-b99adde803b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:54:38] [ERR] Failed to check the state of sock (session id: 59b9ef41-67f4-40ea-9018-b99adde803b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:54:48] [ERR] Failed to check the state of sock (session id: 59b9ef41-67f4-40ea-9018-b99adde803b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:54:58] [ERR] Failed to check the state of sock (session id: 59b9ef41-67f4-40ea-9018-b99adde803b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:55:08] [ERR] Failed to check the state of sock (session id: 59b9ef41-67f4-40ea-9018-b99adde803b1, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:56:09] [ERR] Failed to check the state of sock (session id: 17a26b97-3f32-47d4-a1e8-e60f493661a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:56:19] [ERR] Failed to check the state of sock (session id: 17a26b97-3f32-47d4-a1e8-e60f493661a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:56:29] [ERR] Failed to check the state of sock (session id: 17a26b97-3f32-47d4-a1e8-e60f493661a7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:56:39] [ERR] Failed to check the state of sock (session id: 17a26b97-3f32-47d4-a1e8-e60f493661a7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:56:49] [ERR] Failed to check the state of sock (session id: 17a26b97-3f32-47d4-a1e8-e60f493661a7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[20:58:10] [ERR] Failed to check the state of sock (session id: 2185eb9a-4b78-4617-877b-a16fb6e581da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:58:20] [ERR] Failed to check the state of sock (session id: 2185eb9a-4b78-4617-877b-a16fb6e581da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:58:30] [ERR] Failed to check the state of sock (session id: 2185eb9a-4b78-4617-877b-a16fb6e581da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:58:40] [ERR] Failed to check the state of sock (session id: 2185eb9a-4b78-4617-877b-a16fb6e581da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:58:50] [ERR] Failed to check the state of sock (session id: 2185eb9a-4b78-4617-877b-a16fb6e581da, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[20:59:51] [ERR] Failed to check the state of sock (session id: 47ae6873-c47c-469c-aabc-59a6bbfa59b7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:00:01] [ERR] Failed to check the state of sock (session id: 47ae6873-c47c-469c-aabc-59a6bbfa59b7, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:00:11] [ERR] Failed to check the state of sock (session id: 47ae6873-c47c-469c-aabc-59a6bbfa59b7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:00:21] [ERR] Failed to check the state of sock (session id: 47ae6873-c47c-469c-aabc-59a6bbfa59b7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:00:31] [ERR] Failed to check the state of sock (session id: 47ae6873-c47c-469c-aabc-59a6bbfa59b7, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:02:02] [ERR] Failed to check the state of sock (session id: 91ebea2d-7425-4c82-ad98-69103232c2c5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:02:12] [ERR] Failed to check the state of sock (session id: 91ebea2d-7425-4c82-ad98-69103232c2c5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:02:22] [ERR] Failed to check the state of sock (session id: 91ebea2d-7425-4c82-ad98-69103232c2c5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:02:32] [ERR] Failed to check the state of sock (session id: 91ebea2d-7425-4c82-ad98-69103232c2c5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:02:42] [ERR] Failed to check the state of sock (session id: 91ebea2d-7425-4c82-ad98-69103232c2c5, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:04:03] [ERR] Failed to check the state of sock (session id: c51123ba-3803-48e9-aa49-eff54b09318b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:04:13] [ERR] Failed to check the state of sock (session id: c51123ba-3803-48e9-aa49-eff54b09318b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:04:23] [ERR] Failed to check the state of sock (session id: c51123ba-3803-48e9-aa49-eff54b09318b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:04:33] [ERR] Failed to check the state of sock (session id: c51123ba-3803-48e9-aa49-eff54b09318b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:04:43] [ERR] Failed to check the state of sock (session id: c51123ba-3803-48e9-aa49-eff54b09318b, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:05:44] [ERR] Failed to check the state of sock (session id: 2f08c649-77c9-43e9-8d4e-f2069a9fbc7a, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:05:54] [ERR] Failed to check the state of sock (session id: 2f08c649-77c9-43e9-8d4e-f2069a9fbc7a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:06:04] [ERR] Failed to check the state of sock (session id: 2f08c649-77c9-43e9-8d4e-f2069a9fbc7a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:06:14] [ERR] Failed to check the state of sock (session id: 2f08c649-77c9-43e9-8d4e-f2069a9fbc7a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:06:24] [ERR] Failed to check the state of sock (session id: 2f08c649-77c9-43e9-8d4e-f2069a9fbc7a, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:07:25] [ERR] Failed to check the state of sock (session id: 3a0079ac-bc31-4176-af0d-93c4954eb1ac, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:07:35] [ERR] Failed to check the state of sock (session id: 3a0079ac-bc31-4176-af0d-93c4954eb1ac, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:07:45] [ERR] Failed to check the state of sock (session id: 3a0079ac-bc31-4176-af0d-93c4954eb1ac, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:07:55] [ERR] Failed to check the state of sock (session id: 3a0079ac-bc31-4176-af0d-93c4954eb1ac, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:08:05] [ERR] Failed to check the state of sock (session id: 3a0079ac-bc31-4176-af0d-93c4954eb1ac, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:09:36] [ERR] Failed to check the state of sock (session id: 112380c0-7ee7-482e-ba15-ee17aef65c04, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:09:46] [ERR] Failed to check the state of sock (session id: 112380c0-7ee7-482e-ba15-ee17aef65c04, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:09:56] [ERR] Failed to check the state of sock (session id: 112380c0-7ee7-482e-ba15-ee17aef65c04, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:10:06] [ERR] Failed to check the state of sock (session id: 112380c0-7ee7-482e-ba15-ee17aef65c04, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:10:16] [ERR] Failed to check the state of sock (session id: 112380c0-7ee7-482e-ba15-ee17aef65c04, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:11:48] [ERR] Failed to check the state of sock (session id: b5e3c56f-4848-4a8a-829d-f37317291776, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:11:58] [ERR] Failed to check the state of sock (session id: b5e3c56f-4848-4a8a-829d-f37317291776, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:12:08] [ERR] Failed to check the state of sock (session id: b5e3c56f-4848-4a8a-829d-f37317291776, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:12:18] [ERR] Failed to check the state of sock (session id: b5e3c56f-4848-4a8a-829d-f37317291776, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:12:28] [ERR] Failed to check the state of sock (session id: b5e3c56f-4848-4a8a-829d-f37317291776, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:13:59] [ERR] Failed to check the state of sock (session id: 0a497469-800f-4446-88bc-996293fcb39f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:14:09] [ERR] Failed to check the state of sock (session id: 0a497469-800f-4446-88bc-996293fcb39f, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:14:19] [ERR] Failed to check the state of sock (session id: 0a497469-800f-4446-88bc-996293fcb39f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:14:29] [ERR] Failed to check the state of sock (session id: 0a497469-800f-4446-88bc-996293fcb39f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:14:39] [ERR] Failed to check the state of sock (session id: 0a497469-800f-4446-88bc-996293fcb39f, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:15:40] [ERR] Failed to check the state of sock (session id: 9631a592-09c5-41bc-89c2-5e93df451d05, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:15:50] [ERR] Failed to check the state of sock (session id: 9631a592-09c5-41bc-89c2-5e93df451d05, error: SSLError, message: [SSL: BAD_LENGTH] bad length (_ssl.c:2427))
[21:16:00] [ERR] Failed to check the state of sock (session id: 9631a592-09c5-41bc-89c2-5e93df451d05, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
[21:16:10] [ERR] Failed to check the state of sock (session id: 9631a592-09c5-41bc-89c2-5e93df451d05, error: SSLEOFError, message: EOF occurred in violation of protocol (_ssl.c:2427))
